id,DOI,URL,abstract,alternative_id,archive,article_number,container_title,created_date_parts,created_date_time,created_timestamp,deposited_date_parts,deposited_date_time,deposited_timestamp,indexed_date_parts,indexed_date_time,indexed_timestamp,is_referenced_by_count,issue,issued,issued_date_parts,issued_date_time,issued_timestamp,language,member,original_title,page,prefix,published_online_date_parts,published_online_date_time,published_online_timestamp,published_print_date_parts,published_print_date_time,published_print_timestamp,publisher,publisher_location,reference_count,references_count,score,short_container_title,short_title,source,subtitle,title,type,update_policy,volume,fk
11,10.1037/0022-0663.89.4.631,http://dx.doi.org/10.1037/0022-0663.89.4.631,NULL,1997-43826-004,NULL,NULL,Journal of Educational Psychology,9/22/2005,2005-09-22 15:02:00,1.13E+12,9/17/2019,2019-09-17 16:56:00,1.57E+12,1/8/2020,2020-01-08 15:43:00,1.58E+12,165,4,NULL,1997/12,NULL,NULL,en,15,None,631-644,10.1037,1997/12,NULL,NULL,NULL,NULL,NULL,American Psychological Association (APA),NULL,0,0,1,Journal of Educational Psychology,None,Crossref,None,The beginnings of orthographic knowledge: Children's knowledge of double letters in words.,journal-article,NULL,89,11
12,10.1037/0022-0663.89.4.652,http://dx.doi.org/10.1037/0022-0663.89.4.652,NULL,1997-43826-006,NULL,NULL,Journal of Educational Psychology,9/22/2005,2005-09-22 15:02:00,1.13E+12,9/17/2019,2019-09-17 16:56:00,1.57E+12,6/2/2020,2020-06-02 10:24:00,1.59E+12,190,4,NULL,1997/12,NULL,NULL,en,15,None,652-666,10.1037,1997/12,NULL,NULL,NULL,NULL,NULL,American Psychological Association (APA),NULL,0,0,1,Journal of Educational Psychology,None,Crossref,None,Treatment of handwriting problems in beginning writers: Transfer from handwriting to composition.,journal-article,NULL,89,12
13,10.1044/jslhr.4006.1245,http://dx.doi.org/10.1044/jslhr.4006.1245,NULL,10.1044/jslhr.4006.1245,NULL,NULL,"Journal of Speech, Language, and Hearing Research",7/29/2014,2014-07-29 20:59:00,1.41E+12,12/23/2019,2019-12-23 15:01:00,1.58E+12,6/22/2020,2020-06-22 22:04:00,1.59E+12,1004,6,NULL,1997/12,NULL,NULL,en,1310,None,1245-1260,10.1044,NULL,NULL,NULL,1997/12,NULL,NULL,American Speech Language Hearing Association,NULL,56,56,1,J Speech Lang Hear Res,None,Crossref,None,Prevalence of Specific Language Impairment in Kindergarten Children,journal-article,NULL,40,13
14,10.1016/s0167-5273(97)00202-7,http://dx.doi.org/10.1016/s0167-5273(97)00202-7,NULL,S0167527397002027,NULL,NULL,International Journal of Cardiology,7/25/2002,2002-07-25 11:07:00,1.03E+12,4/27/2019,2019-04-27 10:50:00,1.56E+12,3/30/2020,2020-03-30 19:34:00,1.59E+12,6,2,NULL,1997/11,NULL,NULL,en,78,None,133-141,10.1016,NULL,NULL,NULL,1997/11,NULL,NULL,Elsevier BV,NULL,20,20,1,International Journal of Cardiology,None,Crossref,None,The diameter of the epicardial coronary arteries in patients with dilated cardiomyopathy,journal-article,NULL,62,14
15,10.1016/s0006-3223(97)00141-8,http://dx.doi.org/10.1016/s0006-3223(97)00141-8,NULL,S0006322397001418,NULL,NULL,Biological Psychiatry,7/25/2002,2002-07-25 11:24:00,1.03E+12,1/8/2020,2020-01-08 06:11:00,1.58E+12,1/8/2020,2020-01-08 06:40:00,1.58E+12,71,12,NULL,1997/12,NULL,NULL,en,78,None,1138-1147,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,33,33,1,Biological Psychiatry,None,Crossref,None,Inadequate cortical feature maps: A neural circuit theory of autism,journal-article,NULL,42,15
16,10.1093/beheco/8.6.583,http://dx.doi.org/10.1093/beheco/8.6.583,NULL,NULL,NULL,NULL,Behavioral Ecology,1/13/2007,2007-01-13 16:47:00,1.17E+12,8/22/2017,2017-08-22 13:12:00,1.50E+12,5/14/2020,2020-05-14 05:24:00,1.59E+12,129,6,NULL,1997,NULL,NULL,en,286,None,583-587,10.1093,NULL,NULL,NULL,1997,NULL,NULL,Oxford University Press (OUP),NULL,0,0,1,Behavioral Ecology,None,Crossref,None,Winner and loser effects and the structure of dominance hierarchies,journal-article,NULL,8,16
17,10.1111/j.1469-7610.1997.tb01612.x,http://dx.doi.org/10.1111/j.1469-7610.1997.tb01612.x,NULL,10.1111/j.1469-7610.1997.tb01612.x,NULL,NULL,Journal of Child Psychology and Psychiatry,12/8/2006,2006-12-08 01:31:00,1.17E+12,1/15/2019,2019-01-15 12:39:00,1.55E+12,5/28/2020,2020-05-28 14:51:00,1.59E+12,272,8,NULL,1997/11,NULL,NULL,en,311,None,931-941,10.1111,NULL,NULL,NULL,1997/11,NULL,NULL,Wiley,NULL,44,44,1,J Child Psychol & Psychiat,None,Crossref,None,Attention Deficit Hyperactivity Disorders and Other Psychiatric Outcomes in Very Low Birthweight Children at 12 Years,journal-article,NULL,38,17
18,10.1016/s0002-9343(97)00252-0,http://dx.doi.org/10.1016/s0002-9343(97)00252-0,NULL,S0002934397002520,NULL,NULL,The American Journal of Medicine,7/25/2002,2002-07-25 13:34:00,1.03E+12,1/8/2020,2020-01-08 17:19:00,1.58E+12,6/2/2020,2020-06-02 19:23:00,1.59E+12,97,6,NULL,1997/12,NULL,NULL,en,78,None,483-490,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,46,46,1,The American Journal of Medicine,None,Crossref,None,"Efficacy of 24-Week Monotherapy With Acarbose, Metformin, or Placebo in Dietary-Treated NIDDM Patients",journal-article,NULL,103,18
19,10.1016/s0002-9343(97)00244-1,http://dx.doi.org/10.1016/s0002-9343(97)00244-1,NULL,S0002934397002441,NULL,NULL,The American Journal of Medicine,7/25/2002,2002-07-25 13:34:00,1.03E+12,4/29/2019,2019-04-29 08:50:00,1.56E+12,6/16/2020,2020-06-16 00:43:00,1.59E+12,363,6,NULL,1997/12,NULL,NULL,en,78,None,529-535,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,32,32,1,The American Journal of Medicine,None,Crossref,None,Problems in the “Evidence” of “Evidence-Based Medicine”,journal-article,NULL,103,19
20,10.1111/j.1469-7793.1997.539bb.x,http://dx.doi.org/10.1111/j.1469-7793.1997.539bb.x,NULL,NULL,Portico,NULL,The Journal of Physiology,9/30/2004,2004-09-30 07:17:00,1.1E+12,8/13/2018,2018-08-13 13:40:00,1.53E+12,6/22/2020,2020-06-22 11:26:00,1.59E+12,155,2,NULL,1997/12,NULL,NULL,en,311,None,539-548,10.1113,9/30/2004,NULL,NULL,1997/12,NULL,NULL,Wiley,NULL,38,38,1,None,None,Crossref,None,Contraction of the human diaphragm during rapid postural adjustments,journal-article,NULL,505,20
21,10.1016/s0895-4356(97)00203-5,http://dx.doi.org/10.1016/s0895-4356(97)00203-5,NULL,S0895435697002035,NULL,NULL,Journal of Clinical Epidemiology,7/25/2002,2002-07-25 18:50:00,1.03E+12,1/14/2020,2020-01-14 22:56:00,1.58E+12,5/8/2020,2020-05-08 02:03:00,1.59E+12,226,12,NULL,1997/12,NULL,NULL,en,78,None,1311-1318,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,70,70,1,Journal of Clinical Epidemiology,None,Crossref,None,The Powerful Placebo Effect: Fact or Fiction?,journal-article,NULL,50,21
22,10.1016/s1090-5138(97)00089-5,http://dx.doi.org/10.1016/s1090-5138(97)00089-5,NULL,S1090513897000895,NULL,NULL,Evolution and Human Behavior,7/25/2002,2002-07-25 17:52:00,1.03E+12,4/24/2019,2019-04-24 11:21:00,1.56E+12,3/30/2020,2020-03-30 20:41:00,1.59E+12,28,6,NULL,1997/11,NULL,NULL,en,78,None,403-416,10.1016,NULL,NULL,NULL,1997/11,NULL,NULL,Elsevier BV,NULL,37,37,1,Evolution and Human Behavior,None,Crossref,None,Sex differences in the anatomical locations of human body scarification and tattooing as a function of pathogen prevalence,journal-article,NULL,18,22
23,10.1016/s0016-7037(97)00299-8,http://dx.doi.org/10.1016/s0016-7037(97)00299-8,NULL,S0016703797002998,NULL,NULL,Geochimica et Cosmochimica Acta,7/25/2002,2002-07-25 19:20:00,1.03E+12,4/22/2019,2019-04-22 19:52:00,1.56E+12,5/1/2020,2020-05-01 05:03:00,1.59E+12,77,23,NULL,1997/12,NULL,NULL,en,78,None,5117-5148,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,104,104,1,Geochimica et Cosmochimica Acta,None,Crossref,None,Isotopic systematics of presolar silicon carbide from the Orgueil (CI) chondrite: Implications for solar system formation and stellar nucleosynthesis,journal-article,NULL,61,23
24,10.1148/radiology.206.1.9423651,http://dx.doi.org/10.1148/radiology.206.1.9423651,NULL,10.1148/radiology.206.1.9423651,NULL,NULL,Radiology,7/8/2014,2014-07-08 20:17:00,1.4E+12,8/29/2016,2016-08-29 22:50:00,1.47E+12,4/9/2020,2020-04-09 19:45:00,1.59E+12,181,1,NULL,1998/1,NULL,NULL,en,1577,None,49-55,10.1148,NULL,NULL,NULL,1998/1,NULL,NULL,Radiological Society of North America (RSNA),NULL,0,0,1,Radiology,None,Crossref,None,Annular tears and disk herniation: prevalence and contrast enhancement on MR images in the absence of low back pain or sciatica.,journal-article,NULL,206,24
25,10.1136/jech.51.6.623,http://dx.doi.org/10.1136/jech.51.6.623,NULL,NULL,NULL,NULL,Journal of Epidemiology & Community Health,11/12/2008,2008-11-12 20:10:00,1.23E+12,5/10/2020,2020-05-10 05:29:00,1.59E+12,5/10/2020,2020-05-10 06:10:00,1.59E+12,21,6,NULL,12/1/1997,NULL,NULL,en,239,None,623-629,10.1136,NULL,NULL,NULL,12/1/1997,NULL,NULL,BMJ,NULL,50,50,1,Journal of Epidemiology & Community Health,None,Crossref,None,Cochrane Lecture 1997. What evidence do we need for evidence based medicine?,journal-article,NULL,51,25
26,10.1016/s0140-6736(97)09385-9,http://dx.doi.org/10.1016/s0140-6736(97)09385-9,NULL,S0140673697093859,NULL,NULL,The Lancet,7/25/2002,2002-07-25 10:52:00,1.03E+12,5/2/2019,2019-05-02 12:20:00,1.56E+12,3/31/2020,2020-03-31 17:05:00,1.59E+12,19,9094,NULL,1997/12,NULL,NULL,en,78,None,1845-1847,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,20,20,1,The Lancet,None,Crossref,None,Syndrome E,journal-article,NULL,350,26
27,10.1021/ed075p100,http://dx.doi.org/10.1021/ed075p100,NULL,10.1021/ed075p100,NULL,NULL,Journal of Chemical Education,12/22/2009,2009-12-22 03:16:00,1.26E+12,10/8/2019,2019-10-08 23:19:00,1.57E+12,4/14/2020,2020-04-14 14:23:00,1.59E+12,18,1,NULL,1998/1,NULL,NULL,en,316,None,100,10.1021,NULL,NULL,NULL,1998/1,NULL,NULL,American Chemical Society (ACS),NULL,0,0,1,J. Chem. Educ.,None,Crossref,None,Is Laboratory Based Instruction in Beginning College-Level Chemistry Worth the Effort and Expense?,journal-article,NULL,75,27
28,10.1021/ed075p116,http://dx.doi.org/10.1021/ed075p116,NULL,10.1021/ed075p116,NULL,NULL,Journal of Chemical Education,12/22/2009,2009-12-22 03:16:00,1.26E+12,10/8/2019,2019-10-08 23:19:00,1.57E+12,7/2/2020,2020-07-02 06:03:00,1.59E+12,43,1,NULL,1998/1,NULL,NULL,en,316,None,116,10.1021,NULL,NULL,NULL,1998/1,NULL,NULL,American Chemical Society (ACS),NULL,0,0,1,J. Chem. Educ.,None,Crossref,None,The Real Reason Why Oil and Water Don't Mix,journal-article,NULL,75,28
29,10.1080/02724634.1997.10010975,http://dx.doi.org/10.1080/02724634.1997.10010975,NULL,10.1080/02724634.1997.10010975,NULL,NULL,Journal of Vertebrate Paleontology,8/26/2010,2010-08-26 14:15:00,1.28E+12,6/2/2019,2019-06-02 09:17:00,1.56E+12,1/21/2020,2020-01-21 14:03:00,1.58E+12,84,2,NULL,6/19/1997,NULL,NULL,en,301,None,280-294,10.108,NULL,NULL,NULL,6/19/1997,NULL,NULL,Informa UK Limited,NULL,67,67,1,Journal of Vertebrate Paleontology,None,Crossref,None,"A crocodyliform from the Early Cretaceous Dinosaur Beds, northern Malawi",journal-article,NULL,17,29
30,10.1080/02724634.1997.10010979,http://dx.doi.org/10.1080/02724634.1997.10010979,NULL,10.1080/02724634.1997.10010979,NULL,NULL,Journal of Vertebrate Paleontology,8/26/2010,2010-08-26 14:15:00,1.28E+12,6/2/2019,2019-06-02 09:16:00,1.56E+12,1/13/2020,2020-01-13 08:25:00,1.58E+12,26,2,NULL,6/19/1997,NULL,NULL,en,301,None,349-359,10.108,NULL,NULL,NULL,6/19/1997,NULL,NULL,Informa UK Limited,NULL,31,31,1,Journal of Vertebrate Paleontology,None,Crossref,None,Preservation of biomolecules in cancellous bone ofTyrannosaurus rex,journal-article,NULL,17,30
31,10.1016/s0140-9883(97)01025-6,http://dx.doi.org/10.1016/s0140-9883(97)01025-6,NULL,S0140988397010256,NULL,NULL,Energy Economics,7/25/2002,2002-07-25 17:42:00,1.03E+12,4/24/2019,2019-04-24 15:28:00,1.56E+12,3/30/2020,2020-03-30 20:37:00,1.59E+12,26,4,NULL,1997/10,NULL,NULL,en,78,None,465-475,10.1016,NULL,NULL,NULL,1997/10,NULL,NULL,Elsevier BV,NULL,15,15,1,Energy Economics,None,Crossref,None,Improved stoves in Sub-Saharan Africa: the case of the Sudan,journal-article,NULL,19,31
32,10.1353/mfs.1997.0068,http://dx.doi.org/10.1353/mfs.1997.0068,NULL,NULL,NULL,NULL,MFS Modern Fiction Studies,2/7/2007,2007-02-07 02:01:00,1.17E+12,2/13/2007,2007-02-13 20:56:00,1.17E+12,4/11/2020,2020-04-11 08:23:00,1.59E+12,0,4,NULL,1997,NULL,NULL,en,147,None,1064-1067,10.1353,NULL,NULL,NULL,1997,NULL,NULL,Project Muse,NULL,0,0,1,MFS Modern Fiction Studies,None,Crossref,None,Book Review: Are Girls Necessary? Lesbian Writing and Modern Histories,journal-article,NULL,43,32
33,10.1353/mfs.1997.0091,http://dx.doi.org/10.1353/mfs.1997.0091,NULL,NULL,NULL,NULL,MFS Modern Fiction Studies,2/7/2007,2007-02-07 02:01:00,1.17E+12,2/13/2007,2007-02-13 20:56:00,1.17E+12,4/11/2020,2020-04-11 08:23:00,1.59E+12,0,4,NULL,1997,NULL,NULL,en,147,None,1074-1076,10.1353,NULL,NULL,NULL,1997,NULL,NULL,Project Muse,NULL,0,0,1,MFS Modern Fiction Studies,None,Crossref,None,Book Review: The Cryptographic Imagination: Secret Writing from Edgar Poe to the Internet,journal-article,NULL,43,33
34,10.1016/s0169-5347(97)01177-4,http://dx.doi.org/10.1016/s0169-5347(97)01177-4,NULL,S0169534797011774,NULL,NULL,Trends in Ecology & Evolution,11/5/2002,2002-11-05 13:14:00,1.04E+12,4/26/2019,2019-04-26 20:57:00,1.56E+12,6/26/2020,2020-06-26 09:25:00,1.59E+12,171,1,NULL,1998/1,NULL,NULL,en,78,None,27-30,10.1016,NULL,NULL,NULL,1998/1,NULL,NULL,Elsevier BV,NULL,35,35,1,Trends in Ecology & Evolution,None,Crossref,None,The role of natural history collections in documenting species declines,journal-article,NULL,13,34
35,10.1016/s0090-4295(97)00490-1,http://dx.doi.org/10.1016/s0090-4295(97)00490-1,NULL,S0090429597004901,NULL,NULL,Urology,7/25/2002,2002-07-25 15:14:00,1.03E+12,4/22/2019,2019-04-22 18:20:00,1.56E+12,3/30/2020,2020-03-30 21:14:00,1.59E+12,31,6,NULL,1997/12,NULL,NULL,en,78,None,831-832,10.1016,NULL,NULL,NULL,1997/12,NULL,NULL,Elsevier BV,NULL,0,0,1,Urology,None,Crossref,None,PSAdynia and other PSA-related syndromes: A new epidemic—A case history and taxonomy,journal-article,NULL,50,35
36,10.1161/01.hyp.30.6.1410,http://dx.doi.org/10.1161/01.hyp.30.6.1410,NULL,10.1161/01.HYP.30.6.1410,NULL,NULL,Hypertension,6/12/2012,2012-06-12 00:53:00,1.34E+12,9/28/2018,2018-09-28 09:04:00,1.54E+12,6/22/2020,2020-06-22 09:23:00,1.59E+12,615,6,NULL,1997/12,NULL,NULL,en,276,None,1410-1415,10.1161,NULL,NULL,NULL,1997/12,NULL,NULL,Ovid Technologies (Wolters Kluwer Health),NULL,13,13,1,Hypertension,None,Crossref,A Predictor of Long-term Cardiovascular Mortality in a French Male Population,Pulse Pressure,journal-article,http://dx.doi.org/10.1161/crossmarkpolicy,30,36
37,10.1521/jscp.1997.16.4.405,http://dx.doi.org/10.1521/jscp.1997.16.4.405,NULL,10.1521/jscp.1997.16.4.405,NULL,NULL,Journal of Social and Clinical Psychology,1/21/2011,2011-01-21 21:22:00,1.3E+12,6/8/2019,2019-06-08 01:51:00,1.56E+12,5/13/2020,2020-05-13 02:23:00,1.59E+12,148,4,NULL,1997/12,NULL,NULL,en,377,None,405-419,10.1521,NULL,NULL,NULL,1997/12,NULL,NULL,Guilford Publications,NULL,7,7,1,Journal of Social and Clinical Psychology,None,Crossref,None,Is Being “Sick” Really Better? Effect of the Disease View of Mental Disorder on Stigma,journal-article,NULL,16,37
38,10.1136/bmj.315.7123.1641,http://dx.doi.org/10.1136/bmj.315.7123.1641,NULL,NULL,NULL,NULL,BMJ,10/27/2011,2011-10-27 23:50:00,1.32E+12,12/24/2016,2016-12-24 05:26:00,1.48E+12,6/24/2020,2020-06-24 10:26:00,1.59E+12,99,7123,NULL,12/20/1997,NULL,NULL,en,239,None,1641-1644,10.1136,NULL,NULL,NULL,12/20/1997,NULL,NULL,BMJ,NULL,0,0,1,BMJ,None,Crossref,None,Sex and death: are they related? Findings from the Caerphilly cohort study,journal-article,NULL,315,38
39,10.1136/bmj.315.7123.1649,http://dx.doi.org/10.1136/bmj.315.7123.1649,NULL,NULL,NULL,NULL,BMJ,10/27/2011,2011-10-27 23:50:00,1.32E+12,12/24/2016,2016-12-24 05:25:00,1.48E+12,3/24/2020,2020-03-24 21:19:00,1.59E+12,5,7123,NULL,12/20/1997,NULL,NULL,en,239,None,1649-1652,10.1136,NULL,NULL,NULL,12/20/1997,NULL,NULL,BMJ,NULL,0,0,1,BMJ,None,Crossref,None,Death rates of characters in soap operas on British television: is a government health warning required?,journal-article,NULL,315,39
40,10.1136/bmj.315.7123.1655,http://dx.doi.org/10.1136/bmj.315.7123.1655,NULL,NULL,NULL,NULL,BMJ,10/27/2011,2011-10-27 23:50:00,1.32E+12,12/24/2016,2016-12-24 17:14:00,1.48E+12,3/24/2020,2020-03-24 21:19:00,1.59E+12,0,7123,NULL,12/20/1997,NULL,NULL,en,239,None,1655-1656,10.1136,NULL,NULL,NULL,12/20/1997,NULL,NULL,BMJ,NULL,0,0,1,BMJ,None,Crossref,None,Do you know your chocolates? Recognition survey among medical staff of various grades,journal-article,NULL,315,40
41,10.1136/bmj.315.7123.1685,http://dx.doi.org/10.1136/bmj.315.7123.1685,NULL,NULL,NULL,NULL,BMJ,10/27/2011,2011-10-27 19:50:00,1.32E+12,12/23/2016,2016-12-23 21:38:00,1.48E+12,3/24/2020,2020-03-24 21:19:00,1.59E+12,7,7123,NULL,12/20/1997,NULL,NULL,en,239,None,1685-1686,10.1136,NULL,NULL,NULL,12/20/1997,NULL,NULL,BMJ,NULL,0,0,1,BMJ,None,Crossref,None,A difficult case: Diagnosis made by hallucinatory voices,journal-article,NULL,315,41
42,10.1136/bmj.315.7123.1704,http://dx.doi.org/10.1136/bmj.315.7123.1704,NULL,NULL,NULL,NULL,BMJ,10/27/2011,2011-10-27 23:50:00,1.32E+12,12/24/2016,2016-12-24 06:12:00,1.48E+12,3/24/2020,2020-03-24 21:19:00,1.59E+12,16,7123,NULL,12/20/1997,NULL,NULL,en,239,None,1704-1708,10.1136,NULL,NULL,NULL,12/20/1997,NULL,NULL,BMJ,NULL,0,0,1,BMJ,None,Crossref,None,How Renoir coped with rheumatoid arthritis,journal-article,NULL,315,42
